dstport,protocol,tag
63103,udp,email
9910,gre,sv_P4
46723,icmp,sv_P5
32240,gre,sv_P5
49184,tcp,sv_P3
17534,udp,sv_P5
17160,icmp,sv_P3
15643,gre,sv_P10
7734,tcp,sv_P4
42598,gre,sv_P3
35956,gre,sv_P5
19719,gre,sv_P1
63134,gre,sv_P2
45638,tcp,sv_P3
18418,icmp,sv_P5
8249,icmp,sv_P2
42621,icmp,sv_P2
2662,icmp,email
63150,icmp,email
60419,icmp,sv_P1
58290,udp,sv_P1
35293,gre,sv_P10
47123,gre,sv_P3
32699,gre,sv_P3
22049,tcp,sv_P1
24987,udp,sv_P1
30462,gre,sv_P10
58527,icmp,sv_P2
15657,tcp,sv_P1
37693,icmp,sv_P2
20346,icmp,sv_P10
19627,icmp,sv_P4
26384,icmp,sv_P2
1025,tcp,email
16091,udp,sv_P2
47419,udp,sv_P3
23632,gre,sv_P2
6792,tcp,sv_P2
249,gre,sv_P1
43058,gre,sv_P5
3264,udp,sv_P3
44291,tcp,sv_P5
26742,tcp,email
50529,gre,sv_P10
45358,tcp,sv_P2
42888,tcp,sv_P10
23197,icmp,email
1074,gre,sv_P5
9005,icmp,sv_P5
58314,gre,sv_P1
65035,icmp,sv_P1
23341,gre,sv_P1
12300,tcp,sv_P3
61784,udp,sv_P4
11862,icmp,sv_P4
22894,gre,sv_P2
32695,udp,sv_P5
48026,tcp,sv_P5
47003,icmp,sv_P1
7978,gre,email
24408,udp,sv_P2
58366,icmp,sv_P5
27007,gre,sv_P10
20785,gre,sv_P3
58696,gre,sv_P10
5659,udp,sv_P10
57039,udp,sv_P5
59936,icmp,sv_P4
18463,tcp,sv_P2
15033,tcp,sv_P4
46075,icmp,sv_P2
58164,gre,sv_P5
59520,icmp,sv_P3
43204,tcp,sv_P3
14779,tcp,sv_P5
63273,tcp,sv_P5
20686,tcp,sv_P5
52740,icmp,email
33320,gre,sv_P2
63438,udp,sv_P10
13123,udp,sv_P10
43001,icmp,sv_P2
19899,gre,sv_P1
27865,tcp,sv_P3
42468,gre,sv_P10
48199,gre,sv_P2
13428,tcp,sv_P3
34281,icmp,sv_P10
36736,udp,sv_P4
48535,gre,sv_P5
47090,icmp,email
42568,gre,sv_P3
6292,icmp,email
17361,icmp,sv_P4
5556,gre,sv_P5
61411,gre,sv_P3
7587,udp,sv_P10
24052,udp,sv_P10
52420,gre,sv_P2
33456,gre,email
8291,udp,sv_P4
36105,icmp,sv_P4
18299,icmp,email
4176,gre,sv_P3
55209,gre,sv_P10
7827,udp,sv_P3
30087,tcp,sv_P4
49397,gre,sv_P1
8544,gre,email
38097,icmp,email
46238,icmp,sv_P10
10971,icmp,sv_P5
21738,tcp,sv_P2
10383,udp,sv_P3
37048,tcp,sv_P10
12679,icmp,sv_P2
51671,gre,sv_P5
58314,udp,sv_P5
13598,icmp,sv_P2
30166,icmp,sv_P4
46338,tcp,sv_P5
20840,udp,sv_P4
22939,icmp,sv_P3
26472,gre,sv_P1
18625,tcp,sv_P3
21695,icmp,sv_P2
10531,gre,sv_P4
54777,icmp,sv_P5
33093,gre,sv_P1
8043,udp,sv_P3
18663,icmp,sv_P4
45972,icmp,sv_P3
58531,gre,sv_P2
36335,gre,sv_P3
63070,icmp,sv_P1
23758,icmp,email
11770,icmp,sv_P2
61857,udp,sv_P10
56827,gre,email
24307,udp,email
12301,gre,email
46450,udp,sv_P2
36738,icmp,sv_P3
54264,tcp,sv_P1
23306,gre,sv_P10
38782,udp,sv_P10
35366,icmp,sv_P4
28906,gre,sv_P3
12583,udp,sv_P10
11629,udp,sv_P4
28590,tcp,sv_P1
25735,tcp,sv_P1
64981,udp,sv_P5
12696,icmp,sv_P5
3021,tcp,sv_P10
35976,gre,sv_P5
2657,tcp,sv_P1
8103,icmp,email
55495,tcp,sv_P10
22874,icmp,sv_P1
44494,gre,sv_P10
61808,udp,sv_P5
42769,udp,sv_P4
44618,udp,sv_P5
2192,tcp,sv_P10
23988,icmp,sv_P10
24894,gre,sv_P2
13544,icmp,email
59763,udp,email
39393,gre,sv_P4
19966,icmp,sv_P10
16600,icmp,sv_P3
27690,gre,sv_P1
33184,tcp,sv_P3
6998,tcp,email
25612,gre,sv_P2
3798,icmp,sv_P5
18230,gre,sv_P3
41570,tcp,email
40555,icmp,sv_P3
1794,tcp,sv_P5
35841,udp,sv_P10
47207,icmp,sv_P3
64233,icmp,sv_P5
15394,icmp,sv_P3
10083,icmp,sv_P4
9278,udp,sv_P10
49368,gre,sv_P3
65377,icmp,sv_P2
23371,udp,email
1456,gre,sv_P5
46412,tcp,sv_P10
48984,icmp,sv_P4
54551,gre,sv_P10
8139,icmp,sv_P2
20500,gre,sv_P2
51116,tcp,sv_P4
48416,udp,sv_P2
8519,icmp,sv_P3
28931,gre,email
1089,tcp,sv_P10
34302,icmp,sv_P1
18064,tcp,sv_P4
58362,icmp,sv_P1
33083,icmp,sv_P10
9486,icmp,sv_P5
28467,gre,sv_P4
60585,tcp,sv_P2
22344,tcp,sv_P1
34854,udp,sv_P2
5528,icmp,email
25347,gre,email
44408,tcp,sv_P10
52703,udp,sv_P1
35789,gre,sv_P10
36230,gre,sv_P4
36084,icmp,email
24737,tcp,sv_P1
23707,tcp,sv_P2
905,gre,email
60117,icmp,email
18912,udp,sv_P3
35110,udp,email
62689,tcp,sv_P3
9691,gre,sv_P1
34089,icmp,sv_P5
38174,gre,sv_P4
22114,tcp,sv_P5
29887,udp,sv_P5
2212,gre,sv_P2
50088,icmp,sv_P10
36080,gre,sv_P3
12589,gre,sv_P3
323,tcp,email
51491,icmp,sv_P2
25483,gre,sv_P3
15277,gre,sv_P5
47471,gre,sv_P10
8138,gre,sv_P3
45574,tcp,sv_P3
17261,gre,sv_P5
53855,gre,sv_P3
46628,tcp,sv_P1
5918,udp,sv_P3
56991,icmp,email
12528,gre,sv_P1
6299,tcp,sv_P10
40785,icmp,sv_P10
32510,icmp,sv_P5
60125,gre,sv_P4
24609,tcp,sv_P1
15756,tcp,sv_P3
52755,icmp,email
46664,gre,sv_P10
33293,tcp,sv_P1
15313,tcp,sv_P5
23571,icmp,sv_P4
2654,udp,sv_P2
8498,icmp,sv_P2
21570,icmp,sv_P3
56350,tcp,sv_P10
27976,icmp,sv_P2
19762,udp,sv_P5
25676,icmp,sv_P1
23508,tcp,sv_P1
34851,tcp,sv_P10
49308,tcp,email
29763,udp,sv_P1
54692,gre,email
18756,icmp,sv_P3
53540,tcp,sv_P1
16812,gre,sv_P5
5693,icmp,email
22638,tcp,sv_P3
44352,udp,sv_P5
9324,tcp,sv_P10
48849,gre,sv_P10
29103,udp,sv_P4
19169,tcp,sv_P2
28964,icmp,sv_P10
54669,udp,sv_P1
11274,gre,sv_P3
39332,tcp,sv_P5
16871,udp,sv_P1
44621,tcp,sv_P5
39495,icmp,sv_P3
27545,tcp,sv_P2
14271,tcp,sv_P3
14435,icmp,sv_P10
53199,icmp,sv_P5
51659,icmp,sv_P5
35327,tcp,email
47878,icmp,sv_P5
47552,tcp,sv_P10
40584,udp,sv_P4
55009,gre,sv_P10
45928,tcp,sv_P5
5910,gre,sv_P10
11010,udp,sv_P3
46966,tcp,sv_P2
17781,icmp,sv_P1
46874,tcp,sv_P5
36155,icmp,sv_P10
26835,tcp,sv_P10
29311,tcp,sv_P5
58711,icmp,sv_P4
56890,icmp,sv_P1
21859,gre,sv_P5
29090,icmp,email
49799,gre,sv_P5
18045,udp,sv_P2
63815,icmp,sv_P2
26107,udp,email
36581,icmp,sv_P3
41040,tcp,sv_P2
693,icmp,sv_P4
20197,udp,sv_P1
36153,udp,email
42866,gre,sv_P4
51846,gre,sv_P10
3084,gre,sv_P1
17097,tcp,sv_P3
47882,gre,sv_P2
15823,icmp,sv_P1
17327,icmp,sv_P3
47845,icmp,sv_P4
60419,udp,sv_P2
6021,icmp,sv_P2
52948,tcp,sv_P5
45551,udp,email
38373,gre,sv_P5
14212,udp,sv_P4
13492,gre,sv_P5
43443,icmp,sv_P10
57650,tcp,sv_P3
19714,tcp,sv_P5
57200,icmp,sv_P2
5650,icmp,sv_P5
17670,gre,sv_P1
9482,udp,sv_P10
43564,gre,email
12676,gre,email
60311,tcp,sv_P5
59899,udp,sv_P1
16963,gre,sv_P5
8223,gre,email
3773,tcp,sv_P1
47078,icmp,sv_P1
49727,icmp,sv_P5
50904,gre,email
37863,udp,sv_P10
22198,udp,sv_P5
35995,udp,sv_P2
55585,gre,sv_P5
59772,udp,sv_P10
42413,icmp,email
40241,tcp,email
4476,udp,sv_P2
43561,udp,sv_P5
64728,icmp,sv_P2
18868,udp,sv_P2
50299,icmp,sv_P1
25792,udp,sv_P10
10939,udp,sv_P2
16043,tcp,email
10025,gre,sv_P1
39304,tcp,sv_P3
13980,udp,sv_P5
2896,tcp,email
13232,tcp,sv_P4
40448,tcp,sv_P1
11743,udp,email
36845,tcp,sv_P1
34990,icmp,sv_P4
37653,tcp,email
23934,udp,sv_P3
9412,gre,sv_P4
54916,tcp,sv_P4
50061,udp,email
34712,tcp,sv_P5
54662,icmp,email
20185,gre,email
10742,tcp,sv_P2
51358,udp,sv_P3
23470,tcp,sv_P5
14991,icmp,sv_P10
44209,icmp,sv_P5
9752,udp,sv_P4
14285,udp,sv_P5
47013,udp,sv_P2
63035,gre,sv_P1
8360,icmp,sv_P10
43760,icmp,sv_P2
20646,gre,sv_P3
20424,icmp,email
26461,udp,sv_P5
36768,tcp,sv_P10
21148,gre,sv_P4
38151,udp,sv_P5
52718,tcp,sv_P1
54869,tcp,sv_P2
17384,gre,email
25530,gre,sv_P4
16049,icmp,sv_P10
60558,icmp,sv_P3
11253,gre,email
25858,icmp,email
16688,gre,sv_P2
14879,udp,sv_P3
56360,gre,sv_P5
16701,udp,sv_P5
52619,icmp,sv_P3
732,gre,sv_P5
26008,tcp,sv_P5
60143,gre,sv_P4
13810,tcp,sv_P5
56941,gre,sv_P3
16982,udp,sv_P2
63211,icmp,sv_P5
49829,udp,sv_P1
36790,icmp,sv_P1
26818,icmp,sv_P4
63431,icmp,sv_P5
15632,tcp,sv_P2
9722,tcp,sv_P5
47716,gre,sv_P10
14283,udp,sv_P2
27421,tcp,sv_P1
14146,udp,sv_P2
16726,tcp,sv_P2
20170,gre,sv_P5
7701,gre,email
27200,tcp,sv_P5
33830,tcp,sv_P1
37567,gre,sv_P4
37283,udp,sv_P4
42693,gre,sv_P1
59761,udp,sv_P1
5217,gre,sv_P1
50056,tcp,email
31012,gre,sv_P10
64324,icmp,sv_P2
4392,udp,sv_P10
20117,tcp,sv_P2
62742,udp,sv_P5
20438,udp,sv_P10
63179,udp,email
46,tcp,sv_P3
47194,gre,sv_P1
11779,icmp,sv_P5
45511,icmp,sv_P1
10145,udp,sv_P5
48904,icmp,sv_P4
42107,tcp,sv_P5
44019,udp,sv_P3
28336,tcp,sv_P3
30615,gre,sv_P1
51693,icmp,sv_P10
17751,gre,sv_P3
6715,tcp,sv_P5
39519,udp,sv_P1
30786,udp,sv_P3
19846,icmp,sv_P10
36242,gre,sv_P4
